time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000026,0.000010
0.010000,0.000000,-0.000167,0.000009
0.015000,-0.000000,-0.000770,0.000009
0.020000,-0.000001,-0.001460,-0.000003
0.025000,-0.000004,-0.002912,-0.000046
0.030000,-0.000003,-0.004108,-0.000066
0.035000,-0.000002,-0.005959,-0.000098
0.040000,0.000000,-0.007095,-0.000095
0.045000,0.000004,-0.008440,-0.000079
0.050000,0.000007,-0.009021,-0.000075
0.055000,0.000012,-0.009417,-0.000074
0.060000,0.000014,-0.009372,-0.000071
0.065000,0.000017,-0.008942,-0.000034
0.070000,0.000018,-0.008454,-0.000008
0.075000,0.000021,-0.007559,0.000004
0.080000,0.000022,-0.006904,-0.000006
0.085000,0.000022,-0.005953,-0.000037
0.090000,0.000022,-0.005401,-0.000045
0.095000,0.000024,-0.004758,-0.000047
0.100000,0.000025,-0.004445,-0.000044
0.105000,0.000027,-0.004147,-0.000033
0.110000,0.000028,-0.004049,-0.000024
0.115000,0.000029,-0.003979,-0.000018
0.120000,0.000028,-0.003966,-0.000021
0.125000,0.000027,-0.003986,-0.000037
0.130000,0.000028,-0.003993,-0.000034
0.135000,0.000027,-0.003996,-0.000011
0.140000,0.000026,-0.003976,0.000010
0.145000,0.000024,-0.003909,0.000034
0.150000,0.000023,-0.003842,0.000058
0.155000,0.000021,-0.003713,0.000066
0.160000,0.000019,-0.003609,0.000072
0.165000,0.000018,-0.003338,0.000066
0.170000,0.000018,-0.002886,0.000059
0.175000,0.000015,-0.001620,0.000037
0.180000,0.000013,-0.000398,0.000009
0.185000,0.000009,0.001936,-0.000002
0.190000,0.000004,0.003742,0.000014
0.195000,-0.000002,0.006714,0.000047
0.200000,-0.000005,0.008805,0.000062
0.205000,-0.000006,0.011831,0.000067
0.210000,-0.000006,0.013641,0.000075
0.215000,-0.000004,0.015695,0.000065
0.220000,-0.000004,0.016463,0.000050
0.225000,-0.000003,0.016762,0.000030
0.230000,-0.000003,0.016488,0.000020
0.235000,-0.000000,0.015550,0.000026
0.240000,0.000001,0.014672,0.000027
0.245000,0.000004,0.013180,0.000033
0.250000,0.000006,0.012129,0.000048
0.255000,0.000009,0.010549,0.000085
0.260000,0.000012,0.009521,0.000104
0.265000,0.000015,0.008054,0.000130
0.270000,0.000016,0.007164,0.000131
0.275000,0.000018,0.006042,0.000131
0.280000,0.000019,0.005486,0.000130
