time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000018,-0.000030,-0.000039,0.000000,0.000000
0.010000,0.000051,0.000046,-0.000440,-0.000352,0.000002,0.000002
0.015000,0.000092,0.000095,-0.002125,-0.002395,0.000003,0.000003
0.020000,0.000097,0.000100,-0.006300,-0.005718,-0.000001,-0.000000
0.025000,-0.000004,-0.000021,-0.014115,-0.015116,-0.000012,-0.000013
0.030000,-0.000197,-0.000175,-0.026629,-0.025122,-0.000024,-0.000023
0.035000,-0.000475,-0.000510,-0.044274,-0.046295,-0.000033,-0.000033
0.040000,-0.000794,-0.000767,-0.066827,-0.064353,-0.000034,-0.000034
0.045000,-0.001064,-0.001092,-0.093475,-0.096314,-0.000027,-0.000025
0.050000,-0.001318,-0.001294,-0.122972,-0.119938,-0.000006,-0.000009
0.055000,-0.001569,-0.001594,-0.153988,-0.157143,0.000027,0.000031
0.060000,-0.001813,-0.001791,-0.185221,-0.182154,0.000072,0.000067
0.065000,-0.001979,-0.001990,-0.215548,-0.218541,0.000125,0.000130
0.070000,-0.002026,-0.002026,-0.244080,-0.241382,0.000184,0.000178
0.075000,-0.002017,-0.002016,-0.270237,-0.272776,0.000251,0.000258
0.080000,-0.002029,-0.002023,-0.293685,-0.291543,0.000323,0.000316
0.085000,-0.002116,-0.002128,-0.314405,-0.316424,0.000395,0.000402
0.090000,-0.002263,-0.002248,-0.332645,-0.331016,0.000468,0.000461
0.095000,-0.002418,-0.002434,-0.348899,-0.350543,0.000545,0.000553
0.100000,-0.002571,-0.002557,-0.363643,-0.362339,0.000627,0.000619
0.105000,-0.002695,-0.002706,-0.377359,-0.378823,0.000713,0.000722
0.110000,-0.002787,-0.002779,-0.390487,-0.389330,0.000806,0.000796
0.115000,-0.002851,-0.002857,-0.403322,-0.404750,0.000902,0.000911
0.120000,-0.002921,-0.002913,-0.416016,-0.414915,0.000996,0.000987
0.125000,-0.003033,-0.003046,-0.428681,-0.430130,0.001087,0.001096
0.130000,-0.003149,-0.003139,-0.441355,-0.440281,0.001177,0.001169
0.135000,-0.003228,-0.003232,-0.454012,-0.455481,0.001268,0.001278
0.140000,-0.003212,-0.003216,-0.466577,-0.465546,0.001355,0.001347
0.145000,-0.003130,-0.003119,-0.478941,-0.480397,0.001438,0.001446
